Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory,Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPK-051,ME997282,,Isuzu,Water Pump Repair Kit,,,,"PF6, CW454 15 mm.","PF6, CW454 (รุ่นแกน 15 มิล)",Robust Water Pump of the year,ปั๊มน้ำยอดนิยม ทนทาน,This product is under high demand. Reservation might be needed.,สินค้ารุ่นนี้เป็นรุ่นยอดนิยม หากสินค้ามีไม่เพียงพอ ลูกค้าอาจจะต้องสั่งจองล่วงหน้า
TST-I001,1-51385-071-0,,Mitsubishi,Control Rod End & Ball Joints,,,,"ROCKY 175, 195","ROCKY 175F, 195F รุ่นใหม่",Best sold Control Rod,แผ่น ชึมเพลาแหนบ 2 รู ตัวบาง (0.5 มม.),,
ALV-001,04031-1512,,Hino,Accel Link Lever & Pedal,,,,HINO HO7D ,,,กล่องคันเร่ง Hino HO7D,,
WPA-001,16100-1122,,HINO,Water Pump Assy,ปั๊มน้ำ,,DM100,"KM350, DM100",KM,,แกนสั้น,,
WPA-002,16100-1123,,HINO,Water Pump Assy,ปั๊มน้ำ,,DM100,KM (Long Shaft),KM แกนยาว,,,,
WPA-003,16100-1460,,HINO,Water Pump Assy,ปั๊มน้ำ,,EC100,KL,KL,,,,
WPA-004,16100-1461,,HINO,Water Pump Assy,ปั๊มน้ำ,,EC100,KL (Long Shaft),KL แกนยาว,,,,
WPA-005,16100-1341,,HINO,Water Pump Assy,ปั๊มน้ำ,,EH100,KT920,KT920,แกน 19 มม.,Shaft 19 mm.,,
WPA-006,16100-1341,,HINO,Water Pump Assy,ปั๊มน้ำ,,EH300,KT920 แกนใหญ่,KT920,แกน 24 มม.,Shaft 24 mm.,,
WPA-007,16100-1441,,HINO,Water Pump Assy,ปั๊มน้ำ,,EH700,KT725,KT725,,,,
WPA-008,16100-2342,,HINO,Water Pump Assy,ปั๊มน้ำ,,W04D,"W04D, FB2W, KM505, KM545, KM777","W04D, FB2W, KM505, KM545, KM777",,,,
WPA-009,16100-2531,,HINO,Water Pump Assy,ปั๊มน้ำ,,W06D,"W06D, FC2W","W06D, FC2W",,,,
WPA-010,16100-2384,,HINO,Water Pump Assy,ปั๊มน้ำ,,W06E,W06E,W06E,,,,
WPA-011,16100-2370,,HINO,Water Pump Assy,ปั๊มน้ำ,,H06C,H06C,H06C,,,,
WPA-013,16100-2640,,HINO,Water Pump Assy,ปั๊มน้ำ,,H07C,"H07C, F18","H07C, F18",,,,
WPA-014,16100-2971,,HINO,Water Pump Assy,ปั๊มน้ำ,,H07D,"H07D, FL3H, FM3H","H07D, FL3H, FM3H",,,,
WPA-015,16100-3475,,HINO,Water Pump Assy,ปั๊มน้ำ,,J05C,"J05C, FB4J, FC4J","J05C, FC4J",Hi-Tech,,,
WPA-016,16100-3465,,HINO,Water Pump Assy,ปั๊มน้ำ,,"J07C, J08C, J08C-T","J08C, J07C, FL1J, FM1J, FC3J(Hi-Tech)","J08C, J07C, FL1J, FM1J, FC3J(Hi-Tech)","MEGA, Super Turbo, EURO2",,,
WPA-017,16100-3581,,HINO,Water Pump Assy,ปั๊มน้ำ,,"J08C-TK, J08C-TR",RU1J,RU1J,,,,
WPA-018,16100-3123,,HINO,Water Pump Assy,ปั๊มน้ำ,,K13D,"K13D, FM2K","K13D, FM2K",,,,
WPA-019,16100-3801,,HINO,Water Pump Assy,ปั๊มน้ำ,,EL100,EL100,EL100,,,,
WPA-020,16100-2753,,HINO,Water Pump Assy,ปั๊มน้ำ,,"EM100, M10C","EM100, FM226, FM227, FM3MN","EM100, FM226, FM227, FM3MN",FM3M Short Wheel Base,FM3M ฐานล้อสั้น,,
WPA-021,16100-2864,,HINO,Water Pump Assy,ปั๊มน้ำ,,M10C,"M10C, FM3MK","M10C, FM3MK",FM3M Long Wheel Base,FM3M ฐานล้อยาว,,
