Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory (EN),Subcategory (TH),Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-001,16100-1122,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"DM100, DQ100","KM350, KM500, DM100, DQ100",KM,,แกนสั้น,,
WPA-002,16100-1123,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,DM100,KM (Long Shaft),KM แกนยาว,,,,
WPA-003,16100-1460,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,EC100,KL,KL,,,,
WPA-004,16100-1461,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,EC100,KL (Long Shaft),KL แกนยาว,,,,
WPA-005,16100-1341,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,EH100,KT920,KT920,Shaft 19 mm.,แกน 19 มม.,,
WPA-006,16100-1341,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,EH300,KT920 แกนใหญ่,KT920,Shaft 24 mm.,แกน 24 มม.,,
WPA-007,16100-1441,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,EH700,KT725,KT725,,,,
WPA-008,16100-2342,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,W04D,"W04D, FB2W, KM505, KM545, KM777","W04D, FB2W, KM505, KM545, KM777",,,,
WPA-009,16100-2531,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,W06D,"W06D, FC2W","W06D, FC2W",,,,
WPA-010,16100-2384,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,W06E,W06E,W06E,,,,
WPA-011,16100-2370,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,H06C,H06C,H06C,,,,
WPA-013,16100-2640,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,H07C,"H07C, F18","H07C, F18",,,,
WPA-014,16100-2971,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,H07D,"H07D, FL3H, FM3H","H07D, FL3H, FM3H",,,,
WPA-015,16100-3475,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,J05C,"J05C, FB4J, FC4J","J05C, FC4J",Hi-Tech Series,ไฮเทค,,
